#Exudyn implicit second order time integration sensor output file
#measure Body number = 1
#OutputVariableType = Force
#simulation started = 2025-08-05,15:25:48
#columns contain: time, comma separated sensor values (e.g, x,y,z position coordinates)
#number of sensor values = 4
#Exudyn version = 1.10.0; Python3.13.2; Windows AVX2 FLOAT64
#
0,0,-17.44585875,-17.44585875,-2.1437793
0.005,2.117582368e+80,6.609561395e+86,-2.917406124e+88,-2.143773773
0.01,-7.369186641e+80,2.047068569e+85,2.643542259e+88,-2.143757193
0.015,8.300922883e+80,-1.46912647e+86,-3.825598692e+88,-2.143729559
0.02,2.168404345e+81,-2.331202722e+86,-1.467121021e+88,-2.143690871
0.025,-1.219727444e+81,-2.725055424e+86,3.794176561e+88,-2.14364113
0.03,-8.809142651e+80,-3.349653454e+86,3.186736465e+88,-2.143580335
0.035,-4.065758147e+80,-3.848874344e+86,2.733257847e+88,-2.143508486
0.04,-1.626303259e+81,-4.037417102e+86,1.928634769e+88,-2.143425584
0.045,1.355252716e+80,-4.326335297e+86,-3.701869106e+88,-2.143331629
0.05,3.523657061e+81,-4.484910707e+86,-3.451518585e+88,-2.14322662
0.055,-8.131516294e+80,-4.655217184e+86,-2.822069835e+88,-2.143110558
0.06,3.794707604e+81,-4.743601345e+86,-2.433431928e+88,-2.142983442
0.065,2.168404345e+81,-4.855317537e+86,-2.192726903e+88,-2.142845274
0.07,1.084202172e+81,-4.90670872e+86,-2.022465528e+88,-2.142696053
0.075,1.626303259e+81,-4.947171145e+86,-1.932618995e+88,-2.142535779
0.08,-8.131516294e+81,-4.981865614e+86,-1.348783932e+88,-2.142364454
0.085,-4.33680869e+81,-5.003896603e+86,3.787904018e+88,-2.142182077
0.09,-2.710505431e+81,-5.055157681e+86,3.558812967e+88,-2.141988649
0.095,-1.084202172e+81,-5.099826811e+86,3.439854304e+88,-2.141784171
0.1,-2.168404345e+81,-5.112403556e+86,3.288730399e+88,-2.141568643
0.105,3.252606517e+81,-5.123852731e+86,3.122082454e+88,-2.141342067
0.11,-5.421010862e+81,-5.130618153e+86,2.852284381e+88,-2.141104444
0.115,4.33680869e+81,-5.163924843e+86,2.78177828e+88,-2.140855774
0.12,-2.168404345e+81,-5.192027364e+86,2.649751946e+88,-2.14059606
0.125,-5.421010862e+81,-5.141720383e+86,2.599299248e+88,-2.140325303
0.13,-4.33680869e+81,-5.097831879e+86,2.530302357e+88,-2.140043504
0.135,-7.589415207e+81,-5.103903411e+86,2.529872145e+88,-2.139750667
0.14,2.168404345e+81,-5.10824022e+86,2.431343321e+88,-2.139446793
0.145,4.33680869e+81,-5.13339371e+86,2.246647313e+88,-2.139131885
0.15,-2.168404345e+81,-5.138944825e+86,2.147143574e+88,-2.138805946
0.155,-6.505213035e+81,-5.160108452e+86,2.126639143e+88,-2.138468979
0.16,1.084202172e+82,-5.158720673e+86,1.933217475e+88,-2.138120989
0.165,1.084202172e+82,1.464384169e+87,1.904303104e+88,-2.137761978
0.17,-8.67361738e+81,-5.183700691e+86,-3.123321046e+88,-2.137391951
0.175,-1.517883041e+82,1.34857403e+87,1.804251193e+88,-2.137010914
0.18,1.301042607e+82,-5.187864027e+86,-2.885032491e+88,-2.136618871
0.185,-4.33680869e+81,1.247474346e+87,1.804112415e+88,-2.136215828
0.19,-4.33680869e+81,-5.197231534e+86,-2.655577147e+88,-2.135801791
0.195,1.517883041e+82,1.155325835e+87,1.756463031e+88,-2.135376768
0.2,8.67361738e+81,-5.213884879e+86,-2.362401941e+88,-2.134940764
0.205,-4.33680869e+81,1.072267275e+87,1.805847138e+88,-2.134493789
0.21,8.67361738e+81,-5.220823773e+86,-2.194355808e+88,-2.134035851
0.215,-8.67361738e+81,9.972578319e+86,1.756941814e+88,-2.133566959
0.22,4.33680869e+81,-5.216660437e+86,-1.969702179e+88,-2.133087122
0.225,0,9.28840338e+86,1.733238553e+88,-2.132596351
0.23,-4.33680869e+81,-5.234007672e+86,-1.89259719e+88,-2.132094658
0.235,-1.301042607e+82,8.668066265e+86,1.737540667e+88,-2.131582055
0.24,1.734723476e+82,-5.242334344e+86,-1.795091853e+88,-2.131058553
0.245,0,8.101158633e+86,1.693409302e+88,-2.130524168
0.25,-4.33680869e+81,-5.253436575e+86,-1.707037289e+88,-2.129978913
0.255,8.67361738e+81,7.572414917e+86,1.673619576e+88,-2.129422805
0.26,8.67361738e+81,-5.246497681e+86,-1.562000529e+88,-2.128855859
0.265,-4.33680869e+81,7.081835118e+86,1.705566244e+88,-2.128278093
0.27,8.67361738e+81,-5.254824353e+86,-1.418656859e+88,-2.127689525
0.275,8.67361738e+81,6.625255899e+86,1.71380965e+88,-2.127090176
0.28,0,-5.245803791e+86,-1.3071072e+88,-2.126480065
0.285,-1.734723476e+82,6.208922265e+86,1.661476512e+88,-2.125859214
0.29,0,-5.259681579e+86,-1.258160243e+88,-2.125227648
0.295,1.734723476e+82,5.818956428e+86,1.636579761e+88,-2.124585389
0.3,8.67361738e+81,-5.261069358e+86,-1.229433222e+88,-2.123932463
0.305,8.67361738e+81,5.449807272e+86,1.599137489e+88,-2.123268897
0.31,0,-5.243028234e+86,-1.135869176e+88,-2.12259472
0.315,1.734723476e+82,5.120903701e+86,1.556893503e+88,-2.121909961
0.32,8.67361738e+81,-5.249967128e+86,4.112155061e+88,-2.121214651
0.325,2.602085214e+82,4.804490139e+86,1.482924894e+88,-2.120508823
0.33,2.602085214e+82,1.455502385e+87,-1.060845856e+88,-2.119792511
0.335,0,-1.500050084e+87,-3.522071523e+88,-2.119065751
